company_id,year,metric,computed,source,difference,category
INFY,Mar 2018,ROE,24.689247262141308,31.8,7.11,Version Difference
INFY,Mar 2019,ROE,23.726673646609594,31.8,8.07,Version Difference
INFY,Mar 2020,ROE,25.422459893048128,31.8,6.38,Version Difference
INFY,Mar 2021,ROE,25.43909051616875,31.8,6.36,Version Difference
IOC,Mar 2013,ROE,5.753763662610847,25.44,19.69,Version Difference
IOC,Mar 2014,ROE,10.258713353849778,25.44,15.18,Version Difference
IOC,Mar 2015,ROE,7.078103207810321,25.44,18.36,Version Difference
IOC,Mar 2016,ROE,13.79528784174261,25.44,11.64,Version Difference
IOC,Mar 2017,ROE,19.966502115655853,25.44,5.47,Version Difference
IOC,Mar 2018,ROE,19.869329258654304,25.44,5.57,Version Difference
IOC,Mar 2019,ROE,15.358898896584835,25.44,10.08,Version Difference
IOC,Mar 2020,ROE,-1.9664982494391918,25.44,27.41,Version Difference
IOC,Mar 2021,ROE,19.458502476796795,25.44,5.98,Version Difference
IOC,Mar 2022,ROE,19.266110008611975,25.44,6.17,Version Difference
IOC,Mar 2023,ROE,8.37669355358178,25.44,17.06,Version Difference
IRCTC,Mar 2015,ROE,29.504504504504503,40.4,10.9,Version Difference
IRCTC,Mar 2016,ROE,34.87084870848708,40.4,5.53,Version Difference
IRCTC,Mar 2017,ROE,29.09783989834816,40.4,11.3,Version Difference
IRCTC,Mar 2018,ROE,23.141361256544503,40.4,17.26,Version Difference
IRCTC,Mar 2019,ROE,28.851540616246496,40.4,11.55,Version Difference
IRCTC,Mar 2021,ROE,12.843406593406591,40.4,27.56,Version Difference
IRCTC,Mar 2022,ROE,35.294117647058826,40.4,5.11,Version Difference
IRCTC,Mar 2024,ROE,34.39628482972136,40.4,6.0,Version Difference
IRFC,Mar 2016,ROE,7.366594360086768,13.7,6.33,Version Difference
IRFC,Mar 2017,ROE,7.7775002081772,13.7,5.92,Version Difference
ITC,Mar 2016,ROE,22.261012183692596,29.47,7.21,Version Difference
ITC,Mar 2017,ROE,22.57341693060134,29.47,6.9,Version Difference
ITC,Mar 2018,ROE,21.88725956960579,29.47,7.58,Version Difference
ITC,Mar 2019,ROE,21.70406317106576,29.47,7.77,Version Difference
ITC,Mar 2020,ROE,23.88889740015014,29.47,5.58,Version Difference
